ts,worker,path,method,status,latency_ms,bytes,error
2026-06-16T02:37:18.792801+00:00,4,/product/2ZYFJ3GM2N,GET,200,35.77449219301343,7988,
2026-06-16T02:37:18.879812+00:00,0,/cart,GET,200,114.26748801022768,6853,
2026-06-16T02:37:18.885399+00:00,7,/product/2ZYFJ3GM2N,GET,200,96.38745011761785,8004,
2026-06-16T02:37:18.888034+00:00,6,/product/2ZYFJ3GM2N,GET,200,98.6186726950109,7966,
2026-06-16T02:37:18.889820+00:00,4,/product/2ZYFJ3GM2N,GET,200,96.84731485322118,7956,
2026-06-16T02:37:18.890357+00:00,1,/product/0PUK6V6EV0,GET,200,124.34293376281857,7970,
2026-06-16T02:37:18.952810+00:00,5,/product/2ZYFJ3GM2N,GET,200,162.28858707472682,7972,
2026-06-16T02:37:18.956928+00:00,2,/,GET,200,189.8540579713881,10499,
2026-06-16T02:37:18.959321+00:00,3,/,GET,200,192.55671789869666,10499,
2026-06-16T02:37:19.051078+00:00,0,/cart,GET,200,171.2214332073927,6853,
2026-06-16T02:37:19.054547+00:00,6,/cart,GET,200,166.4453367702663,6855,
2026-06-16T02:37:19.055710+00:00,7,/cart,GET,200,170.25108402594924,6867,
2026-06-16T02:37:19.063707+00:00,4,/product/2ZYFJ3GM2N,GET,200,173.82494499906898,7938,
2026-06-16T02:37:19.068522+00:00,5,/product/0PUK6V6EV0,GET,200,115.63945189118385,7936,
2026-06-16T02:37:19.070063+00:00,2,/cart,GET,200,113.06548397988081,6873,
2026-06-16T02:37:19.072182+00:00,3,/product/0PUK6V6EV0,GET,200,112.81380895525217,7934,
2026-06-16T02:37:19.151040+00:00,1,/,GET,200,260.6187672354281,10499,
2026-06-16T02:37:19.163733+00:00,0,/cart,GET,200,112.59682988747954,6903,
2026-06-16T02:37:19.176459+00:00,6,/product/2ZYFJ3GM2N,GET,200,121.75761489197612,7988,
2026-06-16T02:37:19.256556+00:00,4,/product/2ZYFJ3GM2N,GET,200,192.80335307121277,7964,
